총 26개의 고유 학과명 발견

원문 학과명                    | 결과             
--------------------------------------------------
외식산업경영학                   | 글로컬라이프대학
사범대학                      | 사범대학
스마트제로에너지                  | 글로컬라이프대학
재활과학대학                    | 재활과학대학
비즈니스데이터전                  | 글로벌경영대학
글로벌경영대학                   | 글로벌경영대학
스마트팜전공                    | 글로컬라이프대학
문화콘텐츠학부                   | 문화콘텐츠학부
스포츠산업창업                   | 체육레저학부
미술치료전공                    | 재활과학대학
디지털미디어콘텐                  | 문화콘텐츠학부
디자인예술대학                   | 연계/융합대학
동아시아도시인문                  | 사회과학대학
글로컬라이프대학                  | 글로컬라이프대학
글로벌ICT전공                  | IT·공과대학
프리로스쿨전공                   | 공공인재대학
스마트센싱전공                   | IT·공과대학
생태관광치유학                   | 글로컬라이프대학
사회과학대학                    | 연계/융합대학
창업학                       | 연계/융합대학
대학전체                      | 교양대학
공공인재대학                    | 공공인재대학
사이버수사전공                   | 공공인재대학
AI응용전공                    | 연계/융합대학
보건바이오대학                   | 보건바이오대학
IT·공과대학                   | IT·공과대학
